postcode,longitude,latitude
BR1 1,51.406271,0.015176765
BR1 2,51.403386,0.043618581
BR1 3,51.406882,0.020437522
BR1 4,51.410171,0.0069360467
BR1 5,51.42029,0.019417883
BR2 0,51.407775,-0.0033205432
BR2 7,51.371662,0.024791764
BR2 9,51.395915,0.014951609
BR3 1,51.407682,-0.032384606
BR3 3,51.398424,-0.016695038
BR3 4,51.396705,-0.048180002
BR3 5,51.416113,-0.023594926
BR3 6,51.406155,-0.013844318
BR4 0,51.380973,-0.01161506
BR4 9,51.376082,-0.0069127698
BR7 5,51.416174,0.067703211
BR7 6,51.417424,0.071772278
CR0 1,51.367653,-0.10040185
CR0 2,51.374553,-0.098894924
CR0 3,51.389228,-0.1295194
CR0 4,51.371553,-0.12081476
CR0 5,51.369904,-0.045354619
CR0 6,51.380444,-0.08788745
CR0 7,51.379938,-0.073480841
CR0 8,51.373034,-0.042692519
CR0 9,51.346089,-0.033961376
CR2 0,51.347927,-0.089571656
CR2 6,51.363282,-0.098700911
CR2 7,51.355322,-0.090872613
CR2 8,51.348238,-0.052221939
CR2 9,51.334716,-0.07524804
CR4 1,51.410383,-0.14732096
CR4 2,51.413306,-0.15652135
CR4 3,51.406181,-0.1649029
CR4 4,51.402804,-0.16459239
CR5 1,51.313816,-0.13634763
CR5 2,51.322372,-0.1400194
CR7 6,51.394377,-0.11579722
CR7 7,51.394972,-0.094756707
CR7 8,51.402362,-0.10352161
CR8 1,51.33853,-0.11065113
CR8 2,51.338255,-0.11534285
CR8 3,51.337752,-0.11819179
CR8 4,51.326533,-0.11845013
CR8 5,51.325659,-0.10054442
DA1 4,51.449699,0.19002851
DA14 4,51.426481,0.10503758
DA14 5,51.411874,0.1101619
DA14 6,51.42558,0.10059442
DA15 7,51.435234,0.10187178
DA15 8,51.438048,0.082288311
DA15 9,51.43457,0.10627273
DA16 1,51.461392,0.11002683
DA16 2,51.461623,0.10518595
DA16 3,51.462923,0.10836989
DA17 5,51.49077,0.14725277
