Postcode,Latitude,Longitude,Price,% of London Avg
BR1 1,51.406271,0.015176765,346,48
BR1 2,51.403386,0.043618581,767,108
BR1 3,51.406882,0.020437522,429,60
BR1 4,51.410171,0.0069360467,525,74
BR1 5,51.42029,0.019417883,426,60
BR2 0,51.407775,-0.0033205432,536,75
BR2 7,51.371662,0.024791764,735,103
BR2 9,51.395915,0.014951609,518,73
BR3 1,51.407682,-0.032384606,512,72
BR3 3,51.398424,-0.016695038,766,108
BR3 4,51.396705,-0.048180002,543,76
BR3 5,51.416113,-0.023594926,447,63
BR3 6,51.406155,-0.013844318,775,109
BR4 0,51.380973,-0.01161506,650,91
BR4 9,51.376082,-0.0069127698,629,88
BR7 5,51.416174,0.067703211,862,121
BR7 6,51.417424,0.071772278,629,88
CR0 1,51.367653,-0.10040185,326,46
CR0 2,51.374553,-0.098894924,304,43
CR0 3,51.389228,-0.1295194,363,51
CR0 4,51.371553,-0.12081476,409,57
CR0 5,51.369904,-0.045354619,556,78
CR0 6,51.380444,-0.08788745,375,53
CR0 7,51.379938,-0.073480841,471,66
CR0 8,51.373034,-0.042692519,491,69
CR0 9,51.346089,-0.033961376,333,47
CR2 0,51.347927,-0.089571656,597,84
CR2 6,51.363282,-0.098700911,389,55
CR2 7,51.355322,-0.090872613,457,64
CR2 8,51.348238,-0.052221939,525,74
CR2 9,51.334716,-0.07524804,591,83
CR4 1,51.410383,-0.14732096,433,61
CR4 2,51.413306,-0.15652135,417,59
CR4 3,51.406181,-0.1649029,385,54
CR4 4,51.402804,-0.16459239,393,55
CR5 1,51.313816,-0.13634763,576,81
CR5 2,51.322372,-0.1400194,557,78
CR7 6,51.394377,-0.11579722,433,61
CR7 7,51.394972,-0.094756707,373,52
CR7 8,51.402362,-0.10352161,369,52
CR8 1,51.33853,-0.11065113,713,100
CR8 2,51.338255,-0.11534285,456,64
CR8 3,51.337752,-0.11819179,927,130
CR8 4,51.326533,-0.11845013,593,83
CR8 5,51.325659,-0.10054442,537,75
DA1 4,51.449699,0.19002851,331,46
DA14 4,51.426481,0.10503758,442,62
DA14 5,51.411874,0.1101619,385,54
DA14 6,51.42558,0.10059442,375,53
DA15 7,51.435234,0.10187178,463,65
DA15 8,51.438048,0.082288311,476,67
DA15 9,51.43457,0.10627273,471,66
DA16 1,51.461392,0.11002683,458,64
DA16 2,51.461623,0.10518595,478,67
DA16 3,51.462923,0.10836989,367,52
DA17 5,51.49077,0.14725277,360,51
